pred, behavior, true_positive, false_positive, false_negative, true_negative
heavy,look,124,409,687,1180
medium,look,133,458,673,1136
light,look,162,272,621,1345
blue,look,814,0,1,1585
green,look,777,1,24,1598
brown,look,782,18,2,1598
glass,look,59,225,541,1575
screws,look,281,33,307,1779
beans,look,52,259,557,1532
rice,look,94,198,509,1599
heavy,grasp,61,164,750,1425
medium,grasp,41,139,765,1455
light,grasp,66,121,717,1496
blue,grasp,39,100,776,1485
green,grasp,36,109,765,1490
brown,grasp,27,127,757,1489
glass,grasp,60,13,540,1787
screws,grasp,10,49,578,1763
beans,grasp,9,21,600,1770
rice,grasp,18,29,585,1768
heavy,lift_slow,784,3,27,1586
medium,lift_slow,783,1,23,1593
light,lift_slow,753,0,30,1617
blue,lift_slow,77,210,738,1375
green,lift_slow,104,290,697,1309
brown,lift_slow,72,276,712,1340
glass,lift_slow,15,129,585,1671
screws,lift_slow,21,127,567,1685
beans,lift_slow,16,134,593,1657
rice,lift_slow,10,119,593,1678
heavy,hold,800,0,11,1589
medium,hold,777,0,29,1594
light,hold,751,0,32,1617
blue,hold,61,201,754,1384
green,hold,101,246,700,1353
brown,hold,51,203,733,1413
glass,hold,16,145,584,1655
screws,hold,8,82,580,1730
beans,hold,6,116,603,1675
rice,hold,10,82,593,1715
heavy,shake,666,12,145,1577
medium,shake,685,13,121,1581
light,shake,697,8,86,1609
blue,shake,67,306,748,1279
green,shake,106,405,695,1194
brown,shake,73,401,711,1215
glass,shake,313,52,287,1748
screws,shake,216,95,372,1717
beans,shake,306,56,303,1735
rice,shake,371,28,232,1769
heavy,high_velocity_shake,603,23,208,1566
medium,high_velocity_shake,625,30,181,1564
light,high_velocity_shake,599,36,184,1581
blue,high_velocity_shake,57,381,758,1204
green,high_velocity_shake,83,444,718,1155
brown,high_velocity_shake,63,408,721,1208
glass,high_velocity_shake,472,19,128,1781
screws,high_velocity_shake,385,37,203,1775
beans,high_velocity_shake,405,31,204,1760
rice,high_velocity_shake,421,31,182,1766
heavy,low_drop,664,40,147,1549
medium,low_drop,493,103,313,1491
light,low_drop,554,21,229,1596
blue,low_drop,55,270,760,1315
green,low_drop,79,346,722,1253
brown,low_drop,37,302,747,1314
glass,low_drop,252,40,348,1760
screws,low_drop,293,99,295,1713
beans,low_drop,141,97,468,1694
rice,low_drop,213,123,390,1674
heavy,tap,440,77,371,1512
medium,tap,185,213,621,1381
light,tap,468,40,315,1577
blue,tap,56,172,759,1413
green,tap,102,221,699,1378
brown,tap,74,253,710,1363
glass,tap,57,41,543,1759
screws,tap,23,65,565,1747
beans,tap,36,76,573,1715
rice,tap,33,56,570,1741
heavy,poke,356,116,455,1473
medium,poke,135,267,671,1327
light,poke,470,27,313,1590
blue,poke,50,164,765,1421
green,poke,86,238,715,1361
brown,poke,78,268,706,1348
glass,poke,125,29,475,1771
screws,poke,31,94,557,1718
beans,poke,99,49,510,1742
rice,poke,91,46,512,1751
heavy,push,423,103,388,1486
medium,push,173,169,633,1425
light,push,487,35,296,1582
blue,push,46,158,769,1427
green,push,81,218,720,1381
brown,push,59,192,725,1424
glass,push,13,68,587,1732
screws,push,14,69,574,1743
beans,push,8,58,601,1733
rice,push,22,68,581,1729
heavy,crush,138,162,673,1427
medium,crush,70,191,736,1403
light,crush,281,45,502,1572
blue,crush,39,79,776,1506
green,crush,59,149,742,1450
brown,crush,45,143,739,1473
glass,crush,17,38,583,1762
screws,crush,4,36,584,1776
beans,crush,3,28,606,1763
rice,crush,8,49,595,1748
