1,1,12.0,12.0,16.285714285714285,16.285714285714285,1184.0,1185.0,3756.8571428571427,3757.714285714286,5792.0,5781.0,5930.571428571428,5918.571428571428,5928.0,5916.0,5928.0,5916.0,5928.0,5916.0,5928.0,5916.0
1,2,426.0,426.0,5223.0,5217.9,5952.0,5946.0,5952.0,5946.0,5952.0,5946.0,5952.0,5946.0,5952.0,5946.0,5952.0,5946.0,5952.0,5946.0,5952.0,5946.0
1,3,18.0,18.0,18.0,18.0,1166.5714285714287,1169.142857142857,3727.0,3728.0,5761.714285714285,5758.285714285715,5964.0,5955.0,5964.0,5952.0,5964.0,5952.0,5964.0,5952.0,5964.0,5952.0
1,4,18.0,18.0,18.0,18.0,756.8571428571429,758.5714285714286,3228.0,3233.0,5526.857142857143,5520.857142857143,5958.0,5948.571428571428,5958.0,5946.0,5958.0,5946.0,5958.0,5946.0,5958.0,5946.0
1,5,12.0,18.0,16.285714285714285,22.285714285714285,1217.0,1223.0,3809.1428571428573,3812.5714285714284,5805.0,5801.0,5940.0,5930.571428571428,5940.0,5928.0,5940.0,5928.0,5940.0,5928.0,5940.0,5928.0
2,1,407.7,409.8,5144.8421052631575,5125.263157894737,5922.0,5892.0,5922.0,5892.0,5922.0,5892.0,5922.0,5892.0,5922.0,5892.0,5922.0,5892.0,5922.0,5892.0,5922.0,5892.0
2,2,18.0,18.0,18.0,18.0,1116.0,1116.0,3678.0,3678.0,5629.714285714285,5475.428571428572,5925.0,5628.0,5922.0,5628.0,5922.0,5628.0,5922.0,5628.0,5922.0,5628.0
2,3,12.0,18.0,12.0,18.0,1001.1428571428571,1006.2857142857143,3554.0,3557.0,5703.428571428572,5694.857142857143,5994.0,5979.0,5994.0,5976.0,5994.0,5976.0,5994.0,5976.0,5994.0,5976.0
2,4,12.0,18.0,12.0,18.0,497.0,505.0,2743.0,2754.0,4921.2,4920.0,5974.0,5965.0,5988.0,5976.0,5988.0,5976.0,5988.0,5976.0,5988.0,5976.0
2,5,143.64705882352942,148.94117647058823,4293.0,4294.5,5994.0,5988.0,5994.0,5988.0,5994.0,5988.0,5994.0,5988.0,5994.0,5988.0,5994.0,5988.0,5994.0,5988.0,5994.0,5988.0
3,1,12.0,12.0,12.0,12.0,993.0,995.0,3525.4285714285716,3528.0,5080.0,4820.0,5382.0,4845.0,5400.0,4842.0,5400.0,4842.0,5400.0,4842.0,5400.0,4842.0
3,2,467.14285714285717,472.57142857142856,4902.6,4518.9,5508.0,4800.0,5508.0,4800.0,5508.0,4800.0,5508.0,4800.0,5508.0,4800.0,5508.0,4800.0,5508.0,4800.0,5508.0,4800.0
3,3,12.0,18.0,12.0,18.0,1021.0,1027.0,3563.1428571428573,3567.4285714285716,5094.0,4841.0,5407.0,4866.0,5436.0,4866.0,5436.0,4866.0,5436.0,4866.0,5436.0,4866.0
3,4,12.0,18.0,13.0,19.0,1034.0,1039.0,3558.0,3564.8571428571427,5118.0,4878.0,5508.0,4905.0,5574.0,4902.0,5574.0,4902.0,5574.0,4902.0,5574.0,4902.0
3,5,12.0,18.0,12.0,18.0,998.5714285714286,1000.2857142857143,3533.0,3534.0,5152.285714285715,4910.571428571428,5585.0,4968.0,5616.0,4968.0,5616.0,4968.0,5616.0,4968.0,5616.0,4968.0
4,1,12.0,12.0,75.42857142857143,74.57142857142857,2009.142857142857,2009.142857142857,4759.714285714285,4752.857142857143,5951.142857142857,5939.142857142857,5946.0,5933.142857142857,5946.0,5928.0,5946.0,5928.0,5946.0,5928.0,5946.0,5928.0
4,2,12.0,18.0,12.0,18.0,981.4285714285714,988.2857142857143,3537.0,3541.0,5668.285714285715,5661.428571428572,5946.0,5937.0,5946.0,5934.0,5946.0,5934.0,5946.0,5934.0,5946.0,5934.0
4,3,189.66666666666666,191.0,4614.333333333333,4614.0,5952.0,5946.0,5952.0,5946.0,5952.0,5946.0,5952.0,5946.0,5952.0,5946.0,5952.0,5946.0,5952.0,5946.0,5952.0,5946.0
4,4,12.0,18.0,12.0,18.0,508.0,517.0,2701.0,2712.0,5068.0,5075.0,5946.0,5940.0,5946.0,5940.0,5946.0,5940.0,5946.0,5940.0,5946.0,5940.0
4,5,238.33333333333334,244.66666666666666,4670.823529411765,4671.176470588235,5952.0,5940.0,5952.0,5940.0,5952.0,5940.0,5952.0,5940.0,5952.0,5940.0,5952.0,5940.0,5952.0,5940.0,5952.0,5940.0
5,1,299.4,300.3,4879.8,4626.3,5808.0,5232.0,5808.0,5232.0,5808.0,5232.0,5808.0,5232.0,5808.0,5232.0,5808.0,5232.0,5808.0,5232.0,5808.0,5232.0
5,2,217.26315789473685,223.26315789473685,4581.666666666667,4396.666666666667,5904.0,5262.0,5904.0,5262.0,5904.0,5262.0,5901.333333333333,5262.0,5898.0,5262.0,5898.0,5262.0,5898.0,5262.0,5898.0,5262.0
5,3,18.0,18.0,18.0,18.857142857142858,1356.857142857143,1360.2857142857142,4098.0,4091.1428571428573,5575.714285714285,5195.142857142857,5856.0,5202.0,5862.0,5196.0,5862.0,5196.0,5862.0,5196.0,5862.0,5196.0
5,4,18.0,18.0,33.42857142857143,32.57142857142857,1334.0,1329.0,3885.4285714285716,3870.0,5499.0,5211.0,5883.428571428572,5234.571428571428,5910.0,5232.0,5910.0,5232.0,5910.0,5232.0,5910.0,5232.0
5,5,12.0,12.0,12.0,12.0,857.1428571428571,856.2857142857143,3362.0,3358.0,5404.285714285715,5222.571428571428,5910.0,5422.0,5910.0,5418.0,5910.0,5418.0,5910.0,5418.0,5910.0,5418.0
