1,1,5928.0,5916.0
1,2,5952.0,5946.0
1,3,5964.0,5952.0
1,4,5958.0,5946.0
1,5,5940.0,5928.0
2,1,5922.0,5892.0
2,2,5922.0,5628.0
2,3,5994.0,5976.0
2,4,5988.0,5976.0
2,5,5994.0,5988.0
3,1,5400.0,4842.0
3,2,5508.0,4800.0
3,3,5436.0,4866.0
3,4,5574.0,4902.0
3,5,5616.0,4968.0
4,1,5946.0,5928.0
4,2,5946.0,5934.0
4,3,5952.0,5946.0
4,4,5946.0,5940.0
4,5,5952.0,5940.0
5,1,5808.0,5232.0
5,2,5898.0,5262.0
5,3,5862.0,5196.0
5,4,5910.0,5232.0
5,5,5910.0,5418.0
6,1,5904.0,5508.0
6,2,5994.0,5988.0
6,3,6006.0,6000.0
6,4,5994.0,5988.0
6,5,6006.0,6000.0
7,1,5940.0,5928.0
7,2,5940.0,5928.0
7,3,5958.0,5946.0
7,4,5958.0,5946.0
7,5,5946.0,5934.0
8,1,5916.0,5640.0
8,2,5934.0,5616.0
8,3,5922.0,5652.0
8,4,5934.0,5664.0
8,5,5922.0,5634.0
9,1,5922.0,5700.0
9,2,5922.0,5652.0
9,3,5934.0,5664.0
9,4,5934.0,5688.0
9,5,5928.0,5676.0
10,1,5712.0,5028.0
10,2,5676.0,5058.0
10,3,5766.0,5076.0
10,4,5886.0,5202.0
10,5,5838.0,5160.0
11,1,5988.0,5988.0
11,2,5994.0,5988.0
11,3,5994.0,5988.0
11,4,5994.0,5988.0
11,5,5994.0,5988.0
12,1,5616.0,4908.0
12,2,5634.0,4920.0
12,3,5652.0,5064.0
12,4,5640.0,4950.0
12,5,5628.0,4944.0
13,1,5958.0,5940.0
13,2,5970.0,5964.0
13,3,5958.0,5952.0
13,4,5964.0,5952.0
13,5,5970.0,5952.0
14,1,5952.0,5940.0
14,2,5958.0,5946.0
14,3,5964.0,5952.0
14,4,5952.0,5940.0
14,5,5958.0,5940.0
15,1,5952.0,5940.0
15,2,5958.0,5940.0
15,3,5952.0,5940.0
15,4,5946.0,5934.0
15,5,5970.0,5952.0
16,1,5910.0,5652.0
16,2,5982.0,5964.0
16,3,6006.0,6000.0
16,4,5994.0,5988.0
16,5,5994.0,5988.0
17,1,5940.0,5904.0
17,2,5934.0,5904.0
17,3,5934.0,5916.0
17,4,5934.0,5898.0
17,5,5934.0,5916.0
18,1,5958.0,5946.0
18,2,5952.0,5940.0
18,3,5958.0,5946.0
18,4,5958.0,5940.0
18,5,5958.0,5946.0
19,1,5976.0,5976.0
19,2,5982.0,5982.0
19,3,5970.0,5964.0
19,4,5970.0,5964.0
19,5,5970.0,5964.0
20,1,5484.0,4830.0
20,2,5460.0,4842.0
20,3,5682.0,4944.0
20,4,5640.0,4860.0
20,5,5652.0,4866.0
21,1,5952.0,5940.0
21,2,5952.0,5940.0
21,3,5946.0,5940.0
21,4,5958.0,5940.0
21,5,5958.0,5940.0
22,1,5946.0,5940.0
22,2,5970.0,5952.0
22,3,5958.0,5940.0
22,4,5958.0,5952.0
22,5,5958.0,5946.0
23,1,5928.0,5910.0
23,2,5934.0,5904.0
23,3,5940.0,5874.0
23,4,5940.0,5628.0
23,5,5940.0,5676.0
24,1,5994.0,6000.0
24,2,5988.0,5982.0
24,3,6006.0,6000.0
24,4,6006.0,6000.0
24,5,6000.0,6000.0
25,1,5952.0,5940.0
25,2,5958.0,5946.0
25,3,5958.0,5952.0
25,4,5964.0,5952.0
25,5,5958.0,5940.0
26,1,5946.0,5928.0
26,2,5952.0,5934.0
26,3,5958.0,5940.0
26,4,5946.0,5928.0
26,5,5958.0,5940.0
27,1,5904.0,5658.0
27,2,5910.0,5856.0
27,3,5922.0,5628.0
27,4,5922.0,5628.0
27,5,5922.0,5640.0
28,1,5922.0,5652.0
28,2,5928.0,5868.0
28,3,5934.0,5868.0
28,4,5934.0,5886.0
28,5,5934.0,5880.0
29,1,5946.0,5940.0
29,2,5946.0,5934.0
29,3,5952.0,5940.0
29,4,5964.0,5928.0
29,5,5964.0,5928.0
30,1,5898.0,5442.0
30,2,5898.0,5412.0
30,3,5904.0,5496.0
30,4,5898.0,5466.0
30,5,5910.0,5454.0
31,1,5988.0,5988.0
31,2,6006.0,6000.0
31,3,6006.0,6000.0
31,4,5988.0,5982.0
31,5,5994.0,5988.0
32,1,5910.0,5268.0
32,2,5922.0,5436.0
32,3,5910.0,5448.0
32,4,5904.0,5268.0
32,5,5910.0,5424.0
